LSOA_Code,LSOA_Name
E01000001,City of London 001A
E01000002,City of London 001B
E01000003,City of London 001C
E01000005,City of London 001E
E01000006,Barking and Dagenham 016A
E01000007,Barking and Dagenham 015A
E01000008,Barking and Dagenham 015B
E01000009,Barking and Dagenham 016B
E01000010,Barking and Dagenham 015C
E01000011,Barking and Dagenham 016C
E01000012,Barking and Dagenham 015D
E01000013,Barking and Dagenham 013A
E01000014,Barking and Dagenham 013B
E01000015,Barking and Dagenham 009A
E01000016,Barking and Dagenham 009B
E01000017,Barking and Dagenham 009C
E01000018,Barking and Dagenham 009D
E01000019,Barking and Dagenham 023A
E01000020,Barking and Dagenham 023B
E01000021,Barking and Dagenham 008A
E01000022,Barking and Dagenham 008B
E01000023,Barking and Dagenham 008C
E01000024,Barking and Dagenham 008D
E01000025,Barking and Dagenham 008E
E01000027,Barking and Dagenham 001A
E01000028,Barking and Dagenham 001B
E01000029,Barking and Dagenham 001C
E01000030,Barking and Dagenham 001D
E01000031,Barking and Dagenham 002A
E01000032,Barking and Dagenham 002B
E01000033,Barking and Dagenham 006A
E01000034,Barking and Dagenham 003A
E01000035,Barking and Dagenham 010A
E01000036,Barking and Dagenham 010B
E01000037,Barking and Dagenham 003B
E01000038,Barking and Dagenham 003C
E01000039,Barking and Dagenham 003D
E01000040,Barking and Dagenham 019A
E01000041,Barking and Dagenham 017A
E01000042,Barking and Dagenham 017B
E01000043,Barking and Dagenham 019B
E01000044,Barking and Dagenham 016D
E01000045,Barking and Dagenham 017C
E01000046,Barking and Dagenham 017D
E01000048,Barking and Dagenham 021B
E01000049,Barking and Dagenham 021C
E01000050,Barking and Dagenham 019C
E01000051,Barking and Dagenham 021D
E01000052,Barking and Dagenham 019D
E01000053,Barking and Dagenham 020A
E01000054,Barking and Dagenham 018A
E01000055,Barking and Dagenham 018B
E01000056,Barking and Dagenham 018C
E01000057,Barking and Dagenham 012A
E01000058,Barking and Dagenham 018D
E01000059,Barking and Dagenham 013C
E01000060,Barking and Dagenham 006B
E01000061,Barking and Dagenham 006C
E01000062,Barking and Dagenham 006D
E01000063,Barking and Dagenham 004A
E01000064,Barking and Dagenham 006E
E01000065,Barking and Dagenham 007A
E01000066,Barking and Dagenham 011A
E01000067,Barking and Dagenham 011B
E01000068,Barking and Dagenham 016E
E01000069,Barking and Dagenham 011C
E01000070,Barking and Dagenham 011D
E01000071,Barking and Dagenham 011E
E01000072,Barking and Dagenham 017E
E01000073,Barking and Dagenham 012B
E01000074,Barking and Dagenham 012C
E01000075,Barking and Dagenham 012D
E01000076,Barking and Dagenham 012E
E01000077,Barking and Dagenham 008F
E01000078,Barking and Dagenham 007B
E01000079,Barking and Dagenham 009E
E01000080,Barking and Dagenham 007C
E01000081,Barking and Dagenham 007D
E01000082,Barking and Dagenham 007E
E01000083,Barking and Dagenham 007F
E01000084,Barking and Dagenham 013D
E01000085,Barking and Dagenham 013E
E01000086,Barking and Dagenham 013F
E01000087,Barking and Dagenham 020B
E01000088,Barking and Dagenham 020C
E01000089,Barking and Dagenham 020D
E01000090,Barking and Dagenham 020E
E01000091,Barking and Dagenham 022A
E01000092,Barking and Dagenham 019E
E01000093,Barking and Dagenham 022B
E01000094,Barking and Dagenham 022C
E01000095,Barking and Dagenham 018E
E01000096,Barking and Dagenham 022D
E01000097,Barking and Dagenham 023C
E01000098,Barking and Dagenham 023D
E01000099,Barking and Dagenham 023E
E01000100,Barking and Dagenham 004B
E01000101,Barking and Dagenham 004C
E01000102,Barking and Dagenham 007G
E01000103,Barking and Dagenham 014A
E01000104,Barking and Dagenham 014B
E01000105,Barking and Dagenham 014C
E01000106,Barking and Dagenham 014D
E01000107,Barking and Dagenham 010C
E01000108,Barking and Dagenham 010D
E01000109,Barking and Dagenham 004D
E01000110,Barking and Dagenham 002C
E01000111,Barking and Dagenham 002D
E01000112,Barking and Dagenham 002E
E01000113,Barking and Dagenham 002F
E01000114,Barking and Dagenham 004E
E01000115,Barnet 009A
E01000116,Barnet 009B
E01000117,Barnet 010A
E01000118,Barnet 010B
E01000119,Barnet 009C
E01000120,Barnet 009D
E01000121,Barnet 010C
E01000122,Barnet 009E
E01000123,Barnet 010D
E01000124,Barnet 010E
E01000125,Barnet 024A
E01000126,Barnet 026A
E01000127,Barnet 024B
E01000128,Barnet 024C
E01000129,Barnet 024D
E01000130,Barnet 021A
E01000131,Barnet 024E
E01000132,Barnet 021B
E01000133,Barnet 021C
E01000134,Barnet 024F
E01000135,Barnet 038A
E01000136,Barnet 038B
E01000137,Barnet 041A
E01000138,Barnet 040A
E01000139,Barnet 041B
E01000140,Barnet 041C
E01000141,Barnet 039A
E01000142,Barnet 040B
E01000143,Barnet 041D
E01000144,Barnet 038C
E01000145,Barnet 037A
E01000146,Barnet 038D
E01000147,Barnet 030A
E01000148,Barnet 030B
E01000150,Barnet 036A
E01000151,Barnet 026B
E01000152,Barnet 026C
E01000153,Barnet 026D
E01000154,Barnet 026E
