record_id,accident_year,age_of_casualty,speed_limit,hour,sex_of_casualty,casualty_severity,road_type,junction_detail,light_conditions,road_surface_conditions
201501BS700081,2015,48,30.0,7,1,2,6,6,1,2
201501BS700101,2015,37,30.0,9,1,3,6,6,1,2
201501BS700151,2015,39,30.0,8,1,3,6,3,1,1
201501BS700161,2015,31,30.0,18,1,3,6,3,4,1
201501BS700201,2015,41,30.0,13,1,3,6,3,1,1
201501BS700291,2015,47,30.0,15,1,3,6,3,1,1
201501BS700431,2015,28,30.0,18,2,2,1,1,4,1
201501BS700521,2015,35,30.0,20,1,3,1,2,4,1
201501BS700561,2015,42,30.0,8,1,3,6,0,1,2
201501BS700601,2015,25,30.0,13,1,3,6,0,1,1
201501BS700611,2015,56,30.0,21,1,3,6,3,4,1
201501BS700711,2015,27,30.0,18,2,3,6,6,4,2
201501BS700831,2015,50,30.0,20,1,3,6,3,4,1
201501BS700851,2015,40,30.0,19,1,3,6,6,4,2
201501BS700961,2015,27,30.0,19,1,3,6,3,4,1
201501BS700971,2015,59,30.0,18,2,3,6,6,4,2
201501BS700991,2015,30,30.0,13,2,3,6,3,1,1
201501BS701121,2015,33,30.0,12,1,3,6,3,1,1
201501BS701191,2015,22,30.0,17,2,3,6,3,1,1
201501BS701201,2015,39,30.0,12,1,2,6,3,1,1
201501BS701232,2015,33,30.0,20,1,3,3,3,4,1
201501BS701241,2015,37,30.0,9,2,2,6,6,1,1
201501BS701291,2015,17,30.0,8,2,3,1,2,1,2
201501BS701321,2015,41,30.0,11,1,3,6,6,1,1
201501BS701351,2015,62,30.0,8,1,3,6,6,1,1
201501BS701371,2015,27,30.0,15,1,3,6,8,1,1
201501BS701431,2015,42,30.0,8,2,3,6,3,1,1
201501BS701551,2015,35,30.0,21,1,3,6,6,4,1
201501BS701581,2015,20,30.0,13,1,3,6,6,1,1
201501BS701681,2015,18,30.0,8,1,3,6,2,1,1
201501BS701711,2015,25,30.0,22,1,3,6,3,4,1
201501BS701742,2015,48,30.0,17,1,3,6,2,1,1
201501BS701831,2015,34,30.0,8,1,3,6,6,1,2
201501BS702011,2015,46,30.0,14,1,3,6,3,1,1
201501BS702021,2015,41,30.0,7,1,3,3,0,1,1
